subset,surrogate,target,asr
adm,E,R,0.990000
adm,E,D,0.920000
adm,E,S,0.990000
adm,R,E,0.920000
adm,R,D,0.890000
adm,R,S,1.000000
adm,D,E,0.740000
adm,D,R,0.990000
adm,D,S,0.990000
adm,S,E,0.700000
adm,S,R,0.990000
adm,S,D,0.900000
biggan,E,R,0.630000
biggan,E,D,0.100000
biggan,E,S,0.900000
biggan,R,E,0.880000
biggan,R,D,0.210000
biggan,R,S,0.970000
biggan,D,E,0.400000
biggan,D,R,0.690000
biggan,D,S,0.930000
biggan,S,E,0.620000
biggan,S,R,0.380000
biggan,S,D,0.170000
glide,E,R,0.900000
glide,E,D,0.400000
glide,E,S,0.960000
glide,R,E,0.900000
glide,R,D,0.500000
glide,R,S,0.960000
glide,D,E,0.650000
glide,D,R,0.900000
glide,D,S,0.990000
glide,S,E,0.560000
glide,S,R,0.760000
glide,S,D,0.490000
midjourney,E,R,0.990000
midjourney,E,D,0.740000
midjourney,E,S,0.940000
midjourney,R,E,0.980000
midjourney,R,D,0.730000
midjourney,R,S,0.920000
midjourney,D,E,0.910000
midjourney,D,R,0.970000
midjourney,D,S,0.990000
midjourney,S,E,0.890000
midjourney,S,R,0.840000
midjourney,S,D,0.610000
sdv4,E,R,0.760000
sdv4,E,D,0.270000
sdv4,E,S,0.970000
sdv4,R,E,0.920000
sdv4,R,D,0.250000
sdv4,R,S,0.970000
sdv4,D,E,0.750000
sdv4,D,R,0.710000
sdv4,D,S,0.960000
sdv4,S,E,0.560000
sdv4,S,R,0.540000
sdv4,S,D,0.150000
vqdm,E,R,0.590000
vqdm,E,D,0.100000
vqdm,E,S,1.000000
vqdm,R,E,0.460000
vqdm,R,D,0.290000
vqdm,R,S,0.990000
vqdm,D,E,0.190000
vqdm,D,R,0.410000
vqdm,D,S,0.960000
vqdm,S,E,0.380000
vqdm,S,R,0.430000
vqdm,S,D,0.160000
wukong,E,R,0.780000
wukong,E,D,0.160000
wukong,E,S,0.920000
wukong,R,E,0.890000
wukong,R,D,0.140000
wukong,R,S,0.950000
wukong,D,E,0.730000
wukong,D,R,0.750000
wukong,D,S,0.920000
wukong,S,E,0.570000
wukong,S,R,0.610000
wukong,S,D,0.110000
